user,repo,repo_size,contributors,duration,status,timestamp,artifacts,failed_tests,total_tests,info_logs,warning_logs,memory_used,memory_total,resources,is_seq,slaves
almagest14,spring-ex04,168,1,14056,FAILURE,1493595716028,0,0,0,216,4,20,49,3.0,FALSE,9
almagest14,spr-mvc-hib,184,1,30639,SUCCESS,1493595697580,0,0,2,176,2,14,34,,FALSE,9
almagest14,thymeleaf-custom-layout,120,1,17625,SUCCESS,1493595720760,0,0,7,104,1,19,47,,FALSE,9
almagest14,thymeleafexamples-petclinic,1215,8,495,FAILURE,1493595723428,0,0,7,0,0,,,,FALSE,9
amb-enthusiast,BayesianHack,476,1,9373,FAILURE,1493595723960,0,0,0,93,4,10,25,,FALSE,9
amb-enthusiast,GeoDataObjects,156,1,16574,SUCCESS,1493595726136,0,0,1,50,0,17,42,,FALSE,9
amb-enthusiast,GeoNamesIO,120,1,18836,SUCCESS,1493595728232,0,0,1,38,2,15,36,,FALSE,9
amb-enthusiast,ReportDataObjects,174,1,16537,SUCCESS,1493595730128,0,0,1,50,0,17,42,,FALSE,9
amb-enthusiast,ReportParser,116,1,12100,SUCCESS,1493595733363,0,0,0,41,0,17,42,,FALSE,9
amb-enthusiast,TermFreqProcessor,116,1,19081,SUCCESS,1493595738112,0,0,1,320,0,17,43,,FALSE,9
ammachado,concurrent-batch-framework-java,152,1,26794,SUCCESS,1493595738393,0,0,1,89,10,21,51,3.0,FALSE,9
ammachado,dynjs,7647,21,14221,FAILURE,1493595742626,0,0,0,240,1,14,40,,FALSE,9
ammachado,Jasper-report-maven-plugin,196,2,41805,UNSTABLE,1493595742779,0,1,5,391,13,25,62,92.0,FALSE,9
ammachado,jPopulator,570,2,23395,SUCCESS,1493595745499,0,0,4,273,1,23,56,,FALSE,9
ammachado,liquibase-hibernate,64,2,10177,FAILURE,1493595746670,0,0,0,159,1,11,26,,FALSE,9
amsz,JCIP,169,1,14758,FAILURE,1493595747123,0,0,0,28,12,15,45,,FALSE,9
amsz,mongomongo,7490,1,950,FAILURE,1493595756862,0,0,0,0,0,,,,FALSE,9
