nuboat-FizzBuzzEnterpriseEditio,nuboat-FizzBuzzEnterpriseEdition,None
nuboat-GalaxyMonopol,nuboat-GalaxyMonopoly,None
nuboat-GameOfLif,nuboat-GameOfLife,None
obfischer-javaconfig-ap,obfischer-javaconfig-api,None
obfischer-jmxeva,obfischer-jmxeval,None
omalsa04-JavaVerbalExpression,omalsa04-JavaVerbalExpressions,None
omigo-vertx-mongo-exampl,omigo-vertx-mongo-example,None
optivo-org-fest-assert-2.,optivo-org-fest-assert-2.x,None
p000ison-Bukki,p000ison-Bukkit,None
p000ison-craftconomy,p000ison-craftconomy3,None
PatrickMcAfee-InfoSys-BankingApp,PatrickMcAfee-InfoSys-BankingApp2,None
paweln1986-GuavaStrngsTes,paweln1986-GuavaStrngsTest,None
paweln1986-testExceptio,paweln1986-testException,None
pdf4j-css-selector,pdf4j-css-selectors,None
peergum-slack-plugi,peergum-slack-plugin,None
penguinmenac3-java-cgli,penguinmenac3-java-cglib,None
penguinmenac3-MachineLearnin,penguinmenac3-MachineLearning,None
penguinmenac3-TeamNot,penguinmenac3-TeamNote,None
penguinmenac3-XJCP-Interfac,penguinmenac3-XJCP-Interface,None
pminervini-MAPServic,pminervini-MAPService,None
primitivorm-droid-f,primitivorm-droid-fu,None
Promichel-android-rs,Promichel-android-rss,None
Promichel-Bukki,Promichel-Bukkit,None
Promichel-SvnPa,Promichel-SvnPad,None
pyeonzi20c-android-sampl,pyeonzi20c-android-sample,None
qabbasi-BeanTes,qabbasi-BeanTest,None
qrwteyrutiyoup-galibie,qrwteyrutiyoup-galibier,None
reactor-reactor-si-quickstar,reactor-reactor-si-quickstart,None
rfdickerson-werewol,rfdickerson-werewolf,None
riotopsys-AndroidShoppingLis,riotopsys-AndroidShoppingList,None
riotopsys-Sketc,riotopsys-Sketch,None
rismay-Denize,rismay-Denizen,None
rodrigoguedes-jenkin,rodrigoguedes-jenkins,None
rodrigoguedes-migration,rodrigoguedes-migrations,None
rodrigoguedes-ope,rodrigoguedes-opes,None
rogersmarin-hbase-rd,rogersmarin-hbase-rdf,None
rogersmarin-SAR,rogersmarin-SARQ,None
rSmart-sol,rSmart-solr,None
rSmart-sparsemapconten,rSmart-sparsemapcontent,None
Rycochet-Bukki,Rycochet-Bukkit,None
Rycochet-CraftBukki,Rycochet-CraftBukkit,None
saiki-SQLRunne,saiki-SQLRunner,None
saikrishna-kishore-oauth-exampl,saikrishna-kishore-oauth-example,None
saikrishna-kishore-schoo,saikrishna-kishore-school,None
saikrishna-kishore-vc,saikrishna-kishore-vcl,None
SashaSkywalker-epamnewslabon,SashaSkywalker-epamnewslabone,None
SeanTAllen-metrics-elasticsearch-reporte,SeanTAllen-metrics-elasticsearch-reporter,None
SeanTAllen-redline-smalltal,SeanTAllen-redline-smalltalk,None
secretdataz-Bukki,secretdataz-Bukkit,None
secretdataz-ChestShop-,secretdataz-ChestShop-3,None
sfloess-RedHatPortalAndroi,sfloess-RedHatPortalAndroid,None
shadogray-jande,shadogray-jandex,None
shadogray-plugin-erra,shadogray-plugin-errai,None
ShahimEssaidMirror-p4.org.protege.editor.ow,ShahimEssaidMirror-p4.org.protege.editor.owl,None
ShahimEssaidMirror-p4.org.protege.editor.owl.codegeneratio,ShahimEssaidMirror-p4.org.protege.editor.owl.codegeneration,None
ShahimEssaidMirror-p4.org.protege.owl.dif,ShahimEssaidMirror-p4.org.protege.owl.diff,None
ShahimEssaidMirror-p4.org.protege.owl.rd,ShahimEssaidMirror-p4.org.protege.owl.rdf,None
ShahimEssaidMirror-p4.xmlcatalo,ShahimEssaidMirror-p4.xmlcatalog,None
silanis-esl.url-mappe,silanis-esl.url-mapper,None
skyis-SkyisCommo,skyis-SkyisCommon,None
