User,Repo,Size (KB),Number of Contributors
bobfreitas,Oozie-Job-Runner,144,1
bobfreitas,rest-err-handler,142,1
bols-blue,android-emulator-plugin,464,10
boneill42,astyanax-quickstart,172,1
boneill42,cassandra-indexing,1799,4
boneill42,cassandra-indexing-trigger,84,1
boneill42,cassandra-rest,152,3
boneill42,cassandra-triggers,4674,4
boneill42,hector-quickstart,104,1
boneill42,intravert-ug,2090,4
boneill42,naughty-or-nice,136,1
boneill42,spring-data-cassandra,213,2
boneill42,spring-data-jpa-cassandra,123,1
boneill42,spring-security-acl-cassandra,420,1
boneill42,storm-cassandra,583,8
boneill42,storm-cassandra-cql,504,8
borjaeg,chordRetrieval,99,1
borjaeg,it-books-java-api-wrapper,144,1
bosicc,jira-git-plugin,263,1
boynton,jell,312,1
boyone,fizzbuzz,216,1
boyone,java-generic,112,1
boyone,maven-liquibase,112,1
boyone,refactoringToPatterns,136,1
bozzwin,spring-petclinic,6285,27
bpross-52n,CSWLoDEnabler,201,2
bpross-52n,enviroCar-wps,105,5
bpross-52n,yadarts-desktop,5814,3
brandhill,acra,1917,4
brandt,elasticsearch-river-mysql,100,3
Brantone,build-pipeline-plugin,1428,33
brennan-daguilar,raw4j,724,5
BrentDouglas,browserstack,75,1
BrentDouglas,hibernate-filter-test,112,1
BrentDouglas,intellij-ceylon,1394,1
BrentDouglas,jackson-core,2579,11
BrentDouglas,seam-ui-jsf2,224,1
bretkikehara,robocode-bki-hunter,895,1
brianbruff,DbTest,120,1
brianjmiller,TinCanJava,331,7
brunoV,karma,272,1
bryanjswift,google-sites-liberation,2064,2
bsnizek,neo4j-spatial,1896,4
btoddb,cassandra-queue,1917,1
btoddb,cassandra-queue-spring,206,1
btoddb,chronicle,336,1
btoddb,fast-persistent-queue,1916,1
btoddb,flume-ng-bdbje-channel,108,1
btoddb,flume-ng-cassandra-sink,333,1
btoddb,flume-ng-hornetq-channel,104,1
btoddb,intravert-ug,2287,5
buddycloud,buddycloud-android-sdk,952,3
buddycloud,buddycloud-media-server,6482,7
buddycloud,buddycloud-server-java,8312,13
buschmais,jqassistant-demo,232,1
buschmais,jqassistant-server,580,3
buschmais,xo-mongodb,109,2
BusyAge,mongo-deep-mapreduce,134,0
butlermh,boilerpipe,2272,1
butlermh,JerichoHTML,464,1
b-vesco,GCViewer,3407,10
b-vesco,memcached-clients-loadtest,134,2
b-vesco,RoadRunner,158,1
bww,etcd-java,296,1
cabadsanchez,elasticsearch-river-rabbitmq,312,8
cabadsanchez,elasticsearch-river-twitter,222,8
caot,javassist,9758,4
carljmosca,jpastandalone,128,1
carljmosca,sitemindr,356,1
carlos22,stash-dynamic-webhook,142,3
carlosemoralesm,iBatisWorkShop,6688,1
caspian311,osgi-framework,116,1
catchme1412,bon-voyage,232,1
catchme1412,vxml-browser,4156,1
ccin2p3,jclouds-plugin,419,13
cdgore,piggybank,156,1
cdgore,pig-vector,56,2
chambs,comet-java,264,1
charlescapps,jive-selenium-pages-framework,519,3
charleso,bamboo-git-plugin,4867,7
charleso,npm-maven-plugin,138,1
charleso,nutz,245,1
charleso,pegdown,11464,7
CharlieSay,OLD-HubControl,230,2
CharlieSay,OLD-MTHubAPI,124,0
chathurangat,hibernate-core-example,172,1
chathurangat,spring-mvc-jpa-jasper-report-example,131,1
chenDoInG,Hybrid-Framework,102,1
chenDoInG,Keyword-Driven-Framework,80,1
chenDoInG,robolectric,6292,39
chenDoInG,selenium-tests,80,16
chethankumar,java-apns,1043,1
chethankumar,java-mpns,109,1
cHoco,HorseFever,4732,0
chrishokamp,pignlproc,1467,6
christianzilman,analyzer,12872,1
christophertfoo,robocode-ctf-orthogonobot,556,1
ciandt-dev,contentbowl,1059,1
Ciaran0,premierLeagueApi,250,1
CirnoTheGenius,Bukkit,72,98
CirnoTheGenius,CraftBukkit,72,122
cismet,cids-custom-wrrl-db-mv,6893,7
cismet,cids-custom-wrrl-db-mv-server,152,5
cismet,cids-custom-wuppertal,11518,8
cismet,cids-maven-plugin,184,4
cjnolet,entity-sandbox,320,0
cjnolet,flowbox,548,1
cjstehno,codeperks,136,1
cjstehno,ColaPop,204,0
