User,Repo,Size (KB),Number of Contributors
nimeia,JActor,1542,3
nimeia,JID,1526,2
NinaMargrethe,irclib,117,3
nirojans,ghprb_plugin,4900,1
nirojans,github_api,284,0
nirojans,jenkins_maven_plugin,620,0
nirojans,testDeployPlugin,132,1
nitram509,jmacaroons,1320,2
nitram509,jnacl,223,2
nitram509,jspark,105,1
nKey,git-client-plugin,2469,40
nKey,git-plugin,3958,127
NKjoep,entando-plugin-jpcsseditor,1330,1
nmcb,playground,136,1
nohorbee,raml-codegen,330,1
nohorbee,raml-java-parser,1149,6
noppanit,LunchSelector_Java,704,1
NotBadPad,bi-jasper,300,1
NotBadPad,demo-httpserver,911,1
NotBadPad,easy-httpserver,537,1
NotBadPad,tiny-spring,174,2
notcomment,UFMGame,40177,4
notoriousre-i-d,net.loadbang.shado,901,1
Novakov,build-failure-analyzer-plugin,625,5
nowi,PartialMatcher,304,2
nrrrdcore,hellogitworld,187,1
ns,interchange,1607,1
ntrp,netty-socketio,1055,3
nuboat,Bgile,4831,1
nuboat,JSFTutorial,152,1
nuboat,Lambva,136,1
nuboat,MobileAPI,232,1
nuboat,Report,716,1
nuboat,Services,107,1
nuboat,TestEJB,112,1
nuboat,Tools,196,0
nuboat,ZooKeeper,108,1
nycholas,jsonrpc2-base,164,1
nycholas,jsonrpc2-client,120,1
nycholas,vraptor-client,192,4
o,gaia,224,2
obsdeck,dashboard,4396,5
obsdeck,embedded-jmxtrans,3580,6
obsdeck,jeromq,950,6
obustamante,junit,7241,51
olegCtco,ListViewer,278,3
olegCtco,MetacharactersApp,164,1
oleg-nenashev,authorize-project-plugin,204,1
oleg-nenashev,copyartifact-plugin,289,12
oleg-nenashev,credentials-plugin,551,9
oleg-nenashev,github-plugin,516,28
oleg-nenashev,groovy-sandbox,485,2
oleg-nenashev,ircbot,237,14
oleg-nenashev,jenkins-tcl-plugin,5389,1
oleg-nenashev,label-verifier-plugin,130,0
oleg-nenashev,lib-jira-scraper,150,3
oleg-nenashev,monitoring-plugin,958,1
oleg-nenashev,priority-sorter-plugin,385,5
oleg-nenashev,role-strategy-plugin,163,1
oliver32767,FizzBuzzEnterpriseEdition,205,8
OlivierGonthier,maven-android-plugin,6641,68
omalley,base64,33,3
omalley,clotho,5415,2
omearaj,cf-scale-ce-1,272,1
omnisis,jersey-spring-jetty-example,168,2
omshivaprakash,glacieruploader,472,3
openx,OX3-Java-API-Client,61,1
openx,SSRTBPriceCrypter,90,1
ophis,crawler,4984,0
opitzconsulting,bwertr-java,942,1
ops4j,org.ops4j.pax.ace-maven-plugin,152,1
ops4j,org.ops4j.pax.jmx,128,1
ops4j,org.ops4j.pax.tinybundles,650,9
optivo-org,commons-dbcp,689,1
optivo-org,commons-dbcp-optivo,1120,0
optivo-org,junit-benchmarks,160,0
os-cillation,JalaliCalendar,125,2
ourdatguy,tinted-tries,116,0
P1tt187,SmartComparator,267,1
pabloct,SpringBase,272,1
pakchoidora,java-client,6882,4
palexander,ontologies_api_java_client,198,1
parj,sardine,10544,1
paulkmoore,scribe-java,3819,39
paulmory,Bukkit,3674,67
paulmory,craftconomy3,967,2
pavax,jackson-datatype-joda,84,10
pavax,oracle-uuid-test,164,1
paweln1986,RomeConverterKata,128,1
pborgen,SikuliX-Jython,2226,2
pcarranza,simpletsa,4836,1
pccofvns,algorithms,2366,1
pcrease,datacube,64,5
pcrease,geohash-java,60,4
pcrease,hierarchical-clustering-java,248,1
pcrease,jts2geojson,184,1
pcrease,main,3223,1
pcrease,SOLR-2155,60,1
pdtyreus,neotrac4j,59,1
pdtyreus,recurly-java-library,456,8
PeaceS,djackatron2,149,1
PeaceS,hello-new-world,75,1
PeaceS,hellow-old-world,76,1
pedrotoliveira,camel-spring-amqp,433,8
pekim,alwol,116,1
pekim,node-java,188,1
pekim,node-jdbc,226,1
penguinmenac3,AgeOfSail,284,2
perjansson,chart-lab,332,1
perjansson,thymeleaf-lab,1460,1
PeterNSteinmetz,maven-nar-plugin,2468,4
pgilmore,YstadEnergiClient,160,1
phathvu,jumblr,1983,7
phathvu,repositories-deepdive,99,1
phathvu,scribe-java,1888,39
phiamo,multi-slave-config-plugin,128,1
phiamo,offlineonfailure-plugin,68,1
phoops,GoFleetLSServer,983,2
pilhuhn,GCViewer,3519,12
pipedreambomb,PlummetX,200,1
pjordan,tasim-transportable,114,0
pjrt,cobertura-plugin,560,14
pjrt,jenkins-clone-workspace-scm-plugin,145,5
pkvprakash,templeapp,176,1
plexiti,the-job-announcement,4329,2
plexiti,the-job-announcement-exec-specs,183,1
plexiti,the-job-announcement-fox,968,2
plista,kornakapi,669,3
pmig,zendesk-java-client,154,3
pofallon,jersey2-akka-java,25,1
poolingpeople,java-rest-binding,1806,17
poolingpeople,xing-api,224,2
pral2a,ardoSerial,3253,1
preym,Fudge-Java,4397,11
prjemian,jlake,5780,1
Promichel,Rezeptkram,372,2
proydakov,jmax,12736,3
psenger,GraphTools,132,1
ptdecker,jdbitest,152,1
ptdecker,wumpus-proc,240,1
ptgoetz,astyanax,4442,20
ptgoetz,cassandra-triggers,1803,4
ptgoetz,cassandra-unit,3372,7
ptgoetz,clojure-maven-plugin,569,28
ptgoetz,duke,3230,1
ptgoetz,hdfs-cli,32826,2
ptgoetz,logback-kafka,168,1
ptgoetz,storm-cassandra,655,3
ptgoetz,storm-hbase,333,2
ptgoetz,storm-hdfs,470,1
ptgoetz,storm-jms,291,6
qabbasi,DailyKata,224,1
qpliu,ifstd,3360,1
qpliu,jackson-core,3104,13
qpliu,jackson-dataformat-msgpack,236,1
qpliu,jackson-util-streaming,116,1
QwertyManiac,brickhouse-cdh,547,14
QwertyManiac,hadoop-distcp-mr1,211,1
rabbitt,jabber-plugin,68,7
rac2030,jsr354-tck,209,3
rac2030,OWASP-Proxy,950,2
rac2030,SeleniumDownloadHelper,4758,1
rac2030,TestFrameworkHelper,176,1
radeinla,RT-REST,155,1
rahulmadhavan,astyanax,2875,8
rahulmadhavan,queue-learnings,120,1
RainerW,Abzuarbeiten,108,0
RainerW,ArTest,80,1
RainerW,fsm,164,1
RainerW,JBake,4101,9
RainerW,NeatTestSamples,72,1
RainerW,wicket6-sample1,120,1
RainerW,xml-demo,92,0
Rajendhiran,android-rss,368,3
Ram101,CassandraCRUD,182,1
Ram101,MongoClient,107,1
Ram101,RedisConnect,103,1
raoiitkgp,hadoop-book-1,1288,2
raoiitkgp,hadoop-examples-1,78,1
raoiitkgp,hadoop-qctree,1227,1
raoiitkgp,pigML,220,2
raoiitkgp,riak-hadoop,109,2
raonifn,jpa-query-paginator,279,2
raonifn,junit-casperjs,375,1
raonifn,neo4j-poc,120,1
rapaul,cucumber-jvm-guice-examples,112,1
rapaul,cukejvm-spike,92,1
rapaul,cukejvm-web-driver-switching,96,1
raphaelbauer,apitester,727,5
raphaelbauer,doctest,112,7
raphaelbauer,ninja-devfest,872,1
raphaelbauer,ninja-logtest,124,1
raphaelbauer,ninja-playground,124,1
rapzo,chord,136,1
rbpark,2013-coding-contest,65,1
rbpark,storm-kafka-0.8-plus,921,3
rburton,gomon,88,0
rc800052,coactivosMVCCliente,325,1
reggert,reb4j,3659,1
renevanderark,magic-file-java-6,78,1
renfeng,aws-sdk-for-java-on-gae,5275,3
renfeng,fourhour,120,1
renfeng,sshj,2456,12
reny77,springtilesexample,108,0
riasol,EspeakNextGui,160,1
RicardasLukosevicius,java-technical-test,60,1
RicardasLukosevicius,spring-mvc-showcase,990,5
RicardoRdzG,hibernate-tools,13027,4
ricardoteixas,generic-module-loader,192,1
riccardo-forina,grunt-maven-plugin,211,7
richardjaldin,java-faker,527,10
richcole,Deforma,7019,2
ridoo,CSWLoDEnabler,108,0
ridoo,jfreechart-fse,9125,7
riotopsys,JSONDiffSync,168,1
riotopsys,json-patch,268,1
rkhaotix,apgdiff,763,1
rlegendi,pokr-heroku-webapp,196,1
rmg,github-api,2206,16
rmpestano,arquillian-jacoco-issue,1360,1
rmpestano,arquillian-mocks,176,1
rmpestano,cdi-crud,2847,1
rmpestano,cdi-outcontainer-test,168,1
rmpestano,crud-plugin,428,1
rmpestano,plugin-arquillian,434,4
rmpestano,rsjug,280,1
robusta-inc,bone-cp-xsd,140,0
robusta-inc,commons-cli,64,8
robusta-inc,local-client-bypass,120,0
robusta-inc,logger-tracer,122,0
robusta-inc,package-dependency-checker,288,0
robusta-inc,spring-session-attribute,184,0
robusta-inc,transactor,116,0
rock-hu,mule-app,224,1
rock-hu,works-batch,5972,1
rock-hu,works-common,568,1
rock-hu,works-converter,3404,1
rock-hu,works-message,2599,1
rock-hu,works-model,224,1
rodrigoguedes,produtec,198,1
rogelio2k,obd-java-api,107,2
rokon12,auction,64,7
romanb,JPA-NestedSet,284,2
RonZamkadny,club260631cucumber,140,1
rossabaker,maven-scala-plugin,669,5
rotterdam-cs,liferayResourceEditor,774,3
rovermicrover,xadrian,3283,1
rSmart,ojb,13292,1
rwl,AMDJ,184,1
rwl,api-explorer,1816,1
rwl,BTFJ,164,1
rwl,COLAMDJ,188,1
rwl,CSparseJ,2849,1
rwl,CXSparseJ,2836,1
ryanmmmmm,hellogitworld,669,1
s4u,jfatek,902,1
sababado,AndroidProjectConverter,1008,1
salaman,Multiverse-Inventories,1434,9
sam-berry,json-patch,192,1
sanwar,greenhouse,4743,4
sanwar,SchoolProAd,168,1
sbocko,WinstonGridSearch,6172,2
scandio,abstract-mail-processor,52,3
schibsted,spid-client-java,75,9
schuchert,Cucumber-JVM-Example,124,2
schuchert,CucumberJvmWithJRuby,112,1
schuchert,firstprojectwithcidemo,120,1
schuchert,glassfish.example,116,1
schuchert,jeopardy,144,1
schuchert,lambda_jug,124,1
schuchert,RpnCalculatorJava8,168,0
SciGaP,CyberGateway,592,3
scoyo,engage-api-client,518,8
scoyo,magnolia-vanity-url,341,1
scoyo,S3-CacheEnhancer,128,0
scoyo,vfs-s3,4125,6
ScR4tCh,MapDB,4592,10
sdemills,droid-fu,1193,10
sebasjimenez10,vp-test,216,1
sedricd,fastjson,4083,4
sedricd,zt-zip,181,7
serac,cas-server-integration-ldaptive,579,1
serac,cryptacular,1380,2
serac,cryptosis,676,1
serac,idp-memcached-storage,208,1
serac,jetty-config-test,104,1
serac,spring-webflow-client-repo,177,1
SeraSoft,Rythm,9713,7
serious6,MPS_AE,396,2
serious6,MPS_AE_LoadBalancer,232,2
seshendra,akka-disruptor,132,1
sfoubert,ippon-gwt-sample,5468,1
sfoubert,tatami,43439,34
sgande,elasticsearch,120,91
sgande,spring-data-couchbase,1179,8
sgharms,javacard,400,1
sgjava,dbaccess,10763,1
shankargiri,simple-cloud-storage,56,1
shaon,EucaAdminSDK,600,1
sherman,CandlePatterns,160,1
sherman,kproblem,244,1
sherman,sharding-lib,244,1
shimesaba-type0,hellogitworld,179,3
shoenig,cli-parser,1385,2
shopping24,pagerDutySynchronizer,162,2
shopping24,score_stats_component,103,1
shopping24,solr-bmax-queryparser,332,6
shopping24,solr-extensions-client,801,4
shopping24,solr-jdbc-synonyms,106,3
shopping24,solr-thymeleaf,33,3
shopping24,stream-lib,1962,27
shumaF,Work1,148,2
Silthus,worldedit,5827,38
Silthus,worldguard,4158,31
SinSiXX,acra,5281,9
SinSiXX,Alphabot,7269,2
sionsmith,dropwizard-dynamodb,144,1
sionsmith,spring-petclinic,1038,12
sirchia,camel-disruptor,486,2
sirchia,Java-Thread-Affinity,403,5
Sjith,acra,1972,6
Sjith,android-logger,365,1
sk89q,Eduardo,747,1
sk89q,RegionBook,525,2
sk89q,SquirrelID,76,1
skalio,clamavj,143,1
skavanagh,openshift-java-client,3264,20
skavanagh,victims-enforcer,889,7
skavanagh,victims-lib-java,1092,5
skavanagh,victims-plugin-ant,2954,4
skavanagh,victims-plugin-nexus,1788,1
skunath,STAT-Processor_v.0.0.1,176,1
sLisnychyi,BionicCourse,160,1
sLisnychyi,WorldOfHappiness,156,2
SMB-TEC,java-rest-binding,1017,16
SMB-TEC,querydsl-xo,172,1
SMB-TEC,querydsl-xo-sample,136,1
SMB-TEC,xo-mongodb,248,2
SMB-TEC,xo-orientdb,324,1
SMB-TEC,xo-tinkerpop-blueprints,792,1
SMB-TEC,xo-titan,281,1
smeverts,aerogear-security,1338,5
smeverts,aerogear-unifiedpush-java-client,757,9
smeverts,balanced-java,1300,8
smeverts,GoogleAuth,192,2
smeverts,graylog2-server,11622,17
smeverts,login-server,683,5
smeverts,lucene-jdbc-arquillian-test,77,1
smly,java-labelpropagation,111,1
smola,couchdb-lucene,3331,2
smola,fongo,2132,17
smola,galimatias,1714,5
smucode,monsterbutikken,908,3
smurn,fitzer,180,1
smurn,jsift,192,1
smurn,pokerutils,144,1
Snaipe,CookieJar,132,1
Snaipe,Vapor,112,1
sng2c,RuntimeLexer,234,1
SociallyCompute,gitminer,666,4
soelgary,FakebookCrawler,136,1
sOm2y,android-rss,60,3
SorinS,blog,144,0
SorinS,lightnio,224,1
SorinS,xmltool,398,1
sp4x,kdcloud-engine-node-archetype,916,0
spacechase0,SpoutAPI,4798,21
spacechase0,Vanilla,2372,16
spadin,Jerver,552,1
spawnoi,mvn-hbm-demo,104,1
spawnoi,mvn-hbm-final,104,1
Speljohan,lib-poe,383,1
spkane,Bukkit,4407,103
spkane,CraftBukkit,12353,130
split-n,IpaTestCollect,308,1
spriyan,skycast,200,1
squiddle,jackson-datatype-json-org,159,1
sreev,linq4j,633,4
sreev,optiq,3403,2
sreev,orientdb-jdbc,385,3
sroycode,neo4j-import,5371,2
sskalicky,codilityTraining,144,1
sskalicky,payment-tracker,152,1
sskalicky,tddTraining,184,1
sskalicky,WhiteleysZoo,200,1
ssmccoy,accurit-util,176,1
stalep,aesh,5084,26
stalep,aesh-extensions,644,8
stalep,jboss-modules,1515,6
stalep,jboss-reflect,1476,1
stalep,results,337,2
stalep,staxmapper,100,4
starksm64,jboss-dmr,1294,4
starksm64,jboss-modules,3940,24
starksm64,jboss-msc,977,7
starksm64,jcommander,681,20
starksm64,RaspberryPi,2960,1
starksm64,redline,746,10
steff7,javacard-calculator,188,1
stephan1,blc-cybersource,60,7
stephan1,blc-usps,60,7
stephlag,bdx_poc_nosql,108,1
stephlag,Hands_On_Ehcache,3420,5
stephlag,hibernate_search_solr_integration,76,1
stephlag,tatami,43173,9
stevehanson,elasticsearch,80,117
stormcat24,jv-beans-core,360,1
stormcat24,jv-beans-sample,208,1
stormcat24,jv-link-definitions,3648,1
stormcat24,play-model-gen,140,1
stormcat24,vert-sandbox,140,1
strootman,SkeletonProjects,1156,1
stryng,JQuaternion,4748,1
Studentmediene,Momus,3199,8
SubOptimal,GCViewer,4535,19
SubOptimal,ImageToHacklace2,224,1
SubOptimal,jpatterns,942,5
sudhcha,springdoclet,424,3
SunilkumarYadav9,getting-started-springsecurity-31,60,1
SunilkumarYadav9,msgpack-java,1673,11
SunilkumarYadav9,SpringSecurityAjax,78,1
SunilkumarYadav9,struts2-kickstart,64,1
SunilkumarYadav9,struts2-tiles-demo,64,1
sunlu,fastjson,11506,6
sunshine-zhd1229,multi-thread-context,1348,1
sushiljic,aes-256-encryption-utility,204,1
sushiljic,spark,3568,25
synyx,ArquillianDemo,158,1
synyx,beanfiller,185,1
synyx,charybdis,120,0
synyx,db-graylogger,104,0
synyx,hades-roo,164,1
synyx,Java-WebSocket,2693,19
synyx,jmite,298,1
synyx,Liquibase-OracleClobImporter,104,0
synyx,maven-opencms,620,2
synyx,messagesource,542,3
synyx,minos-skillz,1152,5
t00thpick1,Bukkit,4963,76
t00thpick1,mcMMO,12849,27
t00thpick1,PermissionsEx,2241,26
t3rmin4t0r,hyperloglog,885,2
taimos,cfstack-variables,172,1
taimos,common-gs1,132,1
taimos,cxf-jaxrs-renderer,360,1
taimos,daemon-framework,260,1
taimos,GPSd4Java,376,6
taimos,HTTPUtils,444,2
taimos,JSON-RPC,136,1
taimos,mongobee,474,5
taimos,redmine-maven-plugin,95,2
taimos,restdoc-cxf,404,1
taimos,RESTUtils,394,1
taimos,route53-updater,36,1
taimos,sma-energymeter,188,1
taimos,sma-monitor,152,1
taimos,spring-cxf-daemon,1132,2
taimos,spring-dao-hibernate,59,1
taimos,spring-dao-mongo,113,1
taimos,totp,204,1
TAMUArch,github-plugin,795,26
TAMULib,MockSwordServer,192,1
tarantool,tarantool-java,2475,5
tavlima,fosstrak-tdt,551,0
tbenjis,otr4j,7572,3
tbrooks8,vectorz,6109,6
tcopple,elasticsearch-river-activemq,127,3
tcopple,elasticsearch-river-jdbc,80,6
teamon,BierCalc,519,1
technology-ebay-de,rxjava,136,0
TeddyH,gittest,208,1
TeddyH,tdd-live,160,1
TeddyH,teddy-hamcrest-sample,124,1
TeddyH,teddy-playground,312,1
TeddyH,teddy-reqularexpression,136,1
TeddyH,teddy-springbatch-sample,128,1
tedyoung,assertj-core,108,19
tedyoung,chipper,104,0
tedyoung,de.flapdoodle.embed.mongo,1370,14
tedyoung,docker-client,370,6
tedyoung,fest-assert-2.x,6849,16
tedyoung,hadoop-experiment,108,0
tedyoung,halbuilder-core,500,5
tedyoung,JKVC,136,0
tedyoung,LeanBookWiki,152,1
tehfreak,Bukkit,3910,93
telefonicaid,fiware-commonsproperties,320,2
telefonicaid,fiware-keypass,248,8
telefonicaid,fiware-puppetwrapper,8327,8
tenthdoctor,crawler4j,318,1
TfT-02,Bukkit,4634,103
TfT-02,CraftBukkit,6363,122
tgbyte,expectj,447,2
tgbyte,guartz,706,3
tgbyte,jackson-datatype-joda,498,4
tgbyte,jruby-spymemcached,77,1
tgbyte,lifegycle,445,1
tgc,larm-doms-exporter,263,2
the2hill,java-cloudfiles,68,9
the2hill,java-identityclient,2593,2
the2hill,java-keystone-1,1752,1
the2hill,veracode-client-java,88,0
theanuradha,mvnDeployGitHubTravisCI,116,1
thedatachef,java-geojson,102,1
theiostream,orcamento,527,1
theofilis,GetYourFacebookFriendData,183,2
theofilis,HadoopNaiveBayes,140,2
theofilis,JavaWebService,2296,1
theyagarajan,titan,13048,4
thiagohp,generic-authentication,196,1
thiagohp,generic-controller,144,1
thiagohp,generic-controller-spring,108,1
thiagohp,generic-dao-hibernate,141,1
thiagohp,tapestry5-hotel-booking,60,6
thiagohp,Tapestry-Access-Logger,116,1
thiagohp,tapestry-url-rewriter,33,1
thiagohp,verbum,140,1
thomas2411,jumblr,237,2
thomasbiddle,git-plugin,1996,72
thomkel,TweetsByCountry,104,1
thrawn01,Spring-Jersey-Hibernate-DbUnit-Example,60,1
timcu,ComponentWorld,2657,4
timcu,exanpe-t5-lib,1708,3
timcu,osxappbundle-maven-plugin,124,2
timiblossom,KucooQGen,150,1
timiblossom,MapDB,3457,10
timjstewart,HandcraftingFiniteStateMachines,156,1
timjstewart,mvn8r,208,1
timjstewart,pom-template,128,1
Timshel,avaje-ebeanorm-server,1890,7
tjankov,lucene-examples,76,1
tlaukkan,boteelis,4756,1
tmandke,github-oauth-plugin,215,6
tmandke,jenkins-hipchat-plugin,126,6
tmdlzp,spring-test-mvc,1050,13
TNG,config-builder,9316,7
TNG,junit-dataprovider,690,6
TNG,property-loader,737,6
tobrien,couchdb4j,2599,3
tobrien,docbook-plugin,172,1
tobrien,git-demo,120,1
tobrien,log4couch,2636,1
ToddG,git-parameter-plugin,89,2
tomstaijen,eatools,720,1
tomtheun,multivote,512,1
tomtheun,SqlRecorder,2952,1
Top-Q,adb-controller,146,1
Top-Q,LdapDaoLayer,120,0
TouK,camel-drools,159,1
TouK,coffeescript-maven-plugin,346,4
TouK,cyclos,7724,3
TouK,Journal.IO,947,8
TouK,lesscss-maven-plugin,137,3
tpurtell,cocoon,340,1
Tradingangel,hudson-notification-plugin,100,1
TrentonAdams,lpa,1708,1
TrentonAdams,openjpa-quickstart,156,1
trevorah,cucumber-manual-tester,104,1
triAGENS,arangodb-objectmapper,321,4
triAGENS,blueprints-arangodb-graph,275,7
trifork,deltazip-java,327,1
trifork,HAIBA-EPIMIBA-classification,496,1
trifork,HAIBA-EPIMIBAimporter,1276,1
trifork,HAIBA-FGRImporter,5824,1
trifork,HAIBA-LPR-classification,1532,1
trifork,HAIBA-LPRimporter,3045,1
trifork,HAIBA-Medicinimporter,4160,1
trifork,HAIBA-Minipas-konvertering,3906,1
triplem,romannumerals,96,1
troii,grails-plugin,241,6
troii,timrsyncclient,224,1
trung,tadah,240,1
trung,tadah-sample,256,1
trustathsh,ifmapj,2490,7
trustathsh,irond,2532,8
trustathsh,irondetect,4792,5
trustathsh,ironsyslog,336,2
trustathsh,ironvas,359,5
tsongpon,fongo,3038,16
tsongpon,springdata,112,1
tws-practice-archive,guess-number-java,161,5
tws-practice-archive,pos-java,200,1
tws-practice-archive,pos-java-jdbc,88,1
tyano,jLingr,231,2
tyano,simplequery,3192,1
tyano,wicket15sample,585,1
tyano,wicket15-snippet,288,1
u2ware,springfield,7244,1
u2ware,springfield-showcase,196,1
ukanga,appfuse-demo,476,1
ultimav,stash-hook-mirror,115,1
umarfarooq125,websockets-tomcat,323,1
unclebob,springslim,118,2
unicodefreak,lib-mongomapper,127,1
universitatjaumei,jxades,335,2
universitatjaumei,uji-bec-base,12239,4
universitatjaumei,uji-commons-db,77,3
universitatjaumei,uji-commons-rest,267,6
universitatjaumei,uji-commons-sso,113,6
universitatjaumei,uji-fopreports,428,2
universitatjaumei,uji-gdo-base,1995,5
utcompling,liblinear-java,1264,4
uwol,ComputationalEconomy,1451,1
uwol,vb6grammar,509,2
vamsiikrishna,tmongo,112,1
vegardoj,proman,1628,1
vegardoj,Tic-Tac-Toe,620,1
veian,fantuan,60,2
venkateshamurthy,java-algorithms,185,2
venkateshamurthy,java-concurrency,386,1
venkateshamurthy,java-quantiles,4276,1
vert-x,mod-lang-dynjs,5591,5
vert-x,mod-lang-php,4201,5
vert-x,mod-lang-rhino,2195,18
viadee,dataVaultGen,280,2
viadee,i2t,1324,2
viadee,optaPlannerExample,19,1
viadee,viaRules,158,1
victorfgasparin,Shopping,804,1
vinczente,kornakapi,362,3
VivekVetri,elasticsearch,120,94
VivekVetri,mbo-storm,1472,1
vjames19,HelperTools,512,5
vjprasanth,mongo-java-driver,9609,38
vkostyukov,la4j,9629,26
vkostyukov,logy,166,1
vorce,elasticsearch-analysis-combo,261,4
vsingh58,elasticsearch-tutorial,265,1
vtajzich,wicket-callbacks,197,1
vvscode,java--bigsoft-automation-testing,160,1
w9lsky,eweb4j-framework,1035,3
wakachamo,jRCON,164,1
wakachamo,jRCON-Old,128,1
wallace46886799,cobarclient,635,3
wallf,java-base-n-encodings,0,1
walterg2,cucumber-reporting,3169,6
wangchen1ren,Titan,1660,1
wassupnari,2013-coding-contest,94,1
wassupnari,image-resize-servlet,60,1
web-education,cas-server-async,80,2
web-education,oauth2-server,149,2
webhat,BusinessHours,132,1
webhat,FeedbackNeutralizer,460,1
werkshy,dynamo-session-manager,272,5
werkshy,nsq-java,173,2
wesoly,happy-builder,216,1
wesoly,life-insurance,136,1
wgreven,aether-ant,92,4
wgreven,build-pipeline-plugin,1380,20
wgreven,cloudbees-folder-plugin,172,1
wgreven,copyartifact-plugin,319,12
wgreven,envinject-plugin,772,21
wgreven,folder-environment-variables-plugin,196,1
wgreven,groovy-plugin,217,7
wgreven,jenkins-sonar-plugin,639,7
wgreven,promoted-builds-plugin,779,22
wgreven,urltrigger-plugin,222,5
wgthom,cas-addons,9146,5
wgthom,jline2,3229,34
Wobot,scraper,680,8
wongwill86,Indicative-Java,472,1
wongwill86,JestMargarita,755,6
wongwill86,spring-social-salesforce,106,3
wpm,Hadoop-Word-Count,107,1
wpm,stanford-ner-standoff,118,1
wpm,tfidf,140,1
wpm,TokenSpan,104,1
wpm,WordCountTestAdapter,103,1
wrightmikea,dropwizard-ci,112,2
wumpz,geoserver-manager,1922,19
wumpz,jaxb-xew-plugin,515,8
wumpz,jira-maven-plugin,136,1
xadrnd,jedis,3052,53
xerial,fluent-logger-java,692,7
Xerosigma,lesscss-engine,271,8
xftingzhang,testrepositoryname,156,0
xhochy,carameldb,112,1
xhochy,furnace,597,2
XinV,elasticsearch-cloud-aws,240,9
xntric78,jsoup,2321,15
xorphitus,mint,152,1
xorrizon,parallel-test-executor-plugin,159,3
xpe,riak-java-client,10855,33
x-xyz,zt-zip,810,10
xziyer,fastjson,3116,4
yaitskov,anti-portal,232,1
yaitskov,bluebridge,260,1
yaitskov,camel-cassandra,143,2
yaitskov,chat-polling,328,1
yaitskov,cloud48,332,1
yaitskov,custom-bean-factory,112,1
yaitskov,event-barrier,104,1
yaitskov,gcode,3096,0
yangl,zkclient,215,2
yogendracse,processing-android-serial,640,1
ysb33r,asciidoctorj,2070,22
Yserz,OwnSimpleCache,468,1
Yserz,OwnWebServer,104,1
Yserz,Twitalyse,588,3
Yserz,TwitalyseClient,152,1
yujiliang,jedis,816,37
zabil,listhandling,3,1
zathomas,nakamura-todo,112,1
zathomas,solr,453,5
zathomas,sparsemapcontent,2173,11
zemariamm,animoto_api_client_java,405,1
zeroows,spring-integration-activiti-sandbox,60,1
ZhibingXie,SpringMVC-Spring-MyBatis,1698,1
zilverline,java-tdd-training,316,2
zolibra,camel-weibo,90,1
zuk38,Maven_Baza,132,1
